college_gsis_id,rookie_season,player_name,position,draft_season,draft_round,draft_overall_selection,scrambles,qb_pressures,qb_pressure_to_sack_rate,inside_runs,outside_runs,change_of_direction_runs,designed_qb_runs,man_coverage_targets,zone_coverage_targets,pressures_allowed,pressures,pressure_rate,run_defense_tackles,primary_in_coverage_total,man_coverage_responsibility_total,primary_in_coverage_yards_allowed,total_snaps,passing_attempts,passing_dropbacks,passing_completions,passing_completion_percentage,passing_yards,passing_touchdowns,passing_sacks,passing_interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_yards_per_route_run,receiving_touchdowns,receiving_yards_after_catch,defense_interceptions,defense_pass_breakups
279792,2022,Trestan Ebner,RB,2022,6,203,,,,11,13,2,0,1,6,,,,,,,,258,,,,,,,,,24,54,,7,2,8,0.2962962962962963,,-1,,
350479,2024,Tarheeb Still,DC,2024,5,137,,,,,,,,,,,1,0.16666666666666666,15,67,113,474,881,,,,,,,,,,,,,,,,,,4,10
325018,2022,Luke Tenuta,OT,2022,6,209,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,
310291,2023,John Ojukwu,OT,2023,,,,,,,,,,,,3,,,,,,,74,,,,,,,,,,,,,,,,,,,
280076,2022,Eyioma Uwazurike,DE,2022,4,116,,,,,,,,,,,3,0.035714286,15,,,,198,,,,,,,,,,,,,,,,,,,1
281203,2022,Austin Deculus,OT,2022,6,205,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,
349417,2023,Tyrus Wheat,DE,2023,,,,,,,,,,,,,,,2,2,1,37,228,,,,,,,,,,,,,,,,,,,
196822,2020,Malcolm Perry,WR,2020,7,246,,,,1,1,1,0,5,8,,,,,,,,162,,,,,,,,,3,5,,13,9,92,,1,35,,
278802,2022,Tanner Conner,WR,2022,,,,,,,,,,,2,,,,,,,,177,,,,,,,,,,,,3,,,,,,,
174850,2020,LeVante Bellamy,RB,2020,,,,,,2,2,,0,,1,,,,,,,,95,,,,,,,,,4,11,,1,1,5,,,5,,
316847,2023,Keondre Coburn,DT,2023,6,194,,,,,,,,,,,4,0.083333333,8,,,,115,,,,,,,,,,,,,,,,,,,
280152,2022,Ronnie Rivers,RB,2022,,,,,,5,4,1,0,1,4,,,,,,,,61,,,,,,,,,9,21,,5,5,29,3.2222222222222223,,55,,
295677,2023,Princeton Fant,TE,2023,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,
277795,2022,Dallis Flowers,DC,2022,,,,,,,,,,,,,,,5,8,22,85,317,,,,,,,,,,,,,,,,,,,
304293,2022,Teagan Quitoriano,TE,2022,5,170,,,,,,,,2,8,2,,,,,,,340,,,,,,,,,,,,14,7,113,0.9112903225806451,2,53,,
337587,2023,Aidan O'Connell,QB,2023,4,135,0,124,0.1935483870967742,,,,0,,,,,,,,,,640,343,367,213,0.6209912536443148,2218,12,24,7,17,11,1,,,,,,,,
194868,2020,Raequan Williams,DT,2020,,,,,,,,,,,,,4,0.081632653,2,,,,130,,,,,,,,,,,,,,,,,,,
325753,2024,Bub Means,WR,2024,5,170,,,,,,,,5,10,,,,,,,,160,,,,,,,,,,,,15,9,118,1.4936708860759493,1,20,,
286524,2022,Dareke Young,WR,2022,7,233,,,,,,,,,2,1,,,,,,,318,,,,,,,,,,,,2,2,24,0.8571428571428571,,23,,
305581,2022,Chigoziem Okonkwo,TE,2022,4,143,,,,1,,,0,7,37,1,,,,,,,601,,,,,,,,,3,2,,46,32,450,2.9220779220779223,3,252,,
304478,2022,Zander Horvath,FB,2022,7,260,,,,2,2,1,0,1,5,2,,,,,,,367,,,,,,,,,4,8,,8,5,8,0.25806451612903225,2,1,,
325000,2024,Levelle Bailey,IB,2024,,,,,,,,,,,,,,,2,,,,152,,,,,,,,,,,,,,,,,,,
307876,2023,Spencer Anderson,OT,2023,7,251,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,
301000,2023,Kobie Turner,DT,2023,3,89,,,,,,,,,,,46,0.10222222222222223,41,,,,779,,,,,,,,,,,,,,,,,,,2
316848,2023,Scott Matlock,DT,2023,6,200,,,,,,,,,,,3,0.024793388429752067,13,,,,360,,,,,,,,,,,,,,,,,,,
287519,2022,Sam Webb,DC,2022,,,,,,,,,,,,,,,8,39,103,267,399,,,,,,,,,,,,,,,,,,,3
304685,2022,Montaric Brown,DS,2022,7,222,,,,,,,,,,,,,,6,12,73,99,,,,,,,,,,,,,,,,,,,
317168,2024,Blake Watson,RB,2024,,,,,,4,,,0,,2,,,,,,,,18,,,,,,,,,4,10,,2,1,13,2.6,,18,,
305334,2023,Jordan McFadden,OT,2023,5,156,,,,,,,,,,6,,,,,,,175,,,,,,,,,,,,,,,,,,,
191527,2020,Ja'Marcus Bradley,WR,2020,,,,,,,,,,3,8,,,,,,,,93,,,,,,,,,,,,11,5,60,,,9,,
194433,2020,Michael Onwenu,OG,2020,6,182,,,,,,,,,,14,,,,,,,987,,,,,,,,,,,,,,,,,,,
306315,2023,Ben VanSumeren,IB,2023,,,,,,,,,,,,,,,7,2,2,3,230,,,,,,,,,,,,,,,,,,,
325538,2024,Joshua Cephus,WR,2024,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
315830,2024,Beanie Bishop,DC,2024,,,,,,,,,,,,,3,0.23076923076923078,4,61,116,468,724,,,,,,,,,,,,,,,,,,4,7
193362,2020,Jordan Glasgow,DS,2020,6,213,,,,,,,,,,,,,,,,,266,,,,,,,,,,,,,,,,,,,
262338,2020,Cam Gill,OB,2020,,,,,,,,,,,,,2,0.25,3,,,,249,,,,,,,,,,,,,,,,,,,
368413,2024,Marcellas Dial,DS,2024,6,180,,,,,,,,,,,,,1,5,17,43,425,,,,,,,,,,,,,,,,,,,
324892,2022,Damarion Williams,DC,2022,4,141,,,,,,,,,,,1,0.14285714285714285,3,33,53,268,359,,,,,,,,,,,,,,,,,,,2
325454,2024,Jarrian Jones,DC,2024,3,96,,,,,,,,,,,1,0.1111111111111111,8,64,186,502,812,,,,,,,,,,,,,,,,,,1,8
300652,2022,Thomas Booker,DE,2022,5,150,,,,,,,,,,,1,0.012658227848101266,12,,,,227,,,,,,,,,,,,,,,,,,,1
190013,2020,Joe Gaziano,DE,2020,,,,,,,,,,,,,1,0.058823529411764705,1,,,,28,,,,,,,,,,,,,,,,,,,
373367,2024,Trey Taylor,DS,2024,7,223,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,
300632,2023,Terell Smith,DC,2023,5,165,,,,,,,,,,,,,16,41,49,220,464,,,,,,,,,,,,,,,,,,,6
259630,2020,Austin Edwards,DE,2020,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
264587,2022,Brayden Thomas,DE,2022,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,
328257,2024,C.J. Hanson,OG,2024,7,248,,,,,,,,,,4,,,,,,,32,,,,,,,,,,,,,,,,,,,
304682,2023,Desjuan Johnson,DT,2023,7,259,,,,,,,,,,,6,0.10714285714285714,7,,,,102,,,,,,,,,,,,,,,,,,,
309261,2023,Brodric Martin,DT,2023,3,96,,,,,,,,,,,,,3,,,,28,,,,,,,,,,,,,,,,,,,
282480,2022,Ja'Sir Taylor,DS,2022,6,214,,,,,,,,,,,,,8,11,23,121,429,,,,,,,,,,,,,,,,,,,1
317023,2024,Kyle Hergel,OC,2024,,,,,,,,,,,,1,,,,,,,71,,,,,,,,,,,,,,,,,,,
367710,2024,Maema Njongmeta,IB,2024,,,,,,,,,,,,,,,1,4,3,27,402,,,,,,,,,,,,,,,,,,,
310262,2023,Lance Boykin,DC,2023,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
259353,2020,Isaiah Wright,WR,2020,,,0,1,0,,,,0,9,25,,,,,,,,429,1,,,,,,,,3,16,,35,27,197,,,144,,
325170,2024,Tyler Owens,DS,2024,,,,,,,,,,,,,,,,,,,243,,,,,,,,,,,,,,,,,,,
279801,2023,B.J. Thompson,DE,2023,5,166,,,,,,,,,,,1,0.05,1,,,,44,,,,,,,,,,,,,,,,,,,
326546,2024,Omar Brown,DS,2024,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,
324929,2024,Demani Richardson,DS,2024,,,,,,,,,,,,,1,0.125,23,22,25,196,523,,,,,,,,,,,,,,,,,,1,2
304519,2023,Jaylin Williams,DC,2023,,,,,,,,,,,,,,,1,2,2,20,51,,,,,,,,,,,,,,,,,,,
305860,2022,Kalon Barnes,DC,2022,7,242,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,
349223,2024,Jaylon Carlies,DS,2024,5,151,,,,,,,,,,,2,0.2,21,14,7,95,353,,,,,,,,,,,,,,,,,,,1
305692,2023,Dorian Thompson-Robinson,QB,2023,5,140,5,44,0.13636363636363635,,6,,4,,,,,,,,,,214,112,123,60,0.5357142857142857,440,1,6,4,14,65,,,,,,,,,
300722,2023,D'Shawn Jamison,DC,2023,,,,,,,,,,,,,,,2,8,20,107,262,,,,,,,,,,,,,,,,,,,1
281714,2023,Andre Jones,DE,2023,7,233,,,,,,,,,,,4,0.046511627906976744,3,,,,421,,,,,,,,,,,,,,,,,,,3
196696,2020,Joe Reed,WR,2020,5,151,,,,,1,,0,,1,,,,,,,,176,,,,,,,,,5,29,1,1,,,,,,,
193691,2020,Auzoyah Alufohai,DT,2020,,,,,,,,,,,,,1,0.041666666666666664,1,,,,84,,,,,,,,,,,,,,,,,,,
351384,2023,Juice Scruggs,OC,2023,2,62,,,,,,,,,,12,,,,,,,466,,,,,,,,,,,,,,,,,,,
326124,2023,Drake Thomas,IB,2023,,,,,,,,,,,,,,,2,,,,122,,,,,,,,,,,,,,,,,,,
305372,2023,Mohamed Ibrahim,RB,2023,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
310211,2024,Mason McCormick,OG,2024,4,119,,,,,,,,,,24,,,,,,,1008,,,,,,,,,,,,,,,,,,,
280844,2022,Cordell Volson,OT,2022,4,136,,,,,,,,,,37,,,,,,,1181,,,,,,,,,,,,,,,,,,,
304574,2023,Amari Burney,IB,2023,6,203,,,,,,,,,,,2,0.5,9,5,1,80,165,,,,,,,,,,,,,,,,,,,
263756,2020,Tershawn Wharton,DT,2020,,,,,,,,,,,,,17,0.052147239,20,,,,550,,,,,,,,,,,,,,,,,,,
287953,2022,Vederian Lowe,OT,2022,6,184,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,
325391,2024,Renardo Green,DC,2024,2,64,,,,,,,,,,,,,20,66,109,491,751,,,,,,,,,,,,,,,,,,1,13
311703,2022,Brock Purdy,QB,2022,7,262,6,67,0.16417910447761194,,1,,1,,,,,,,,,,380,170,187,114,0.6705882352941176,1374,13,11,4,22,13,1,,,,,,,,
305878,2022,Tyquan Thornton,WR,2022,2,50,,,,,,,0,14,30,,,,,,,,526,,,,,,,,,3,16,1,45,22,247,0.8288590604026845,2,63,,
348709,2024,Christian Mahogany,OG,2024,6,210,,,,,,,,,,1,,,,,,,116,,,,,,,,,,,,,,,,,,,
307999,2023,Yasir Abdullah,DE,2023,5,136,,,,,,,,,,,3,0.125,1,,,,45,,,,,,,,,,,,,,,,,,,
312958,2024,Isaac Guerendo,RB,2024,4,129,,,,42,41,9,0,1,15,2,,,,,,,351,,,,,,,,,84,420,4,16,15,152,1.876543209876543,,107,,
305371,2023,Jordan Howden,DS,2023,5,146,,,,,,,,,,,2,0.16666666666666666,17,22,72,144,729,,,,,,,,,,,,,,,,,,,5
279194,2022,Nolan Turner,DS,2022,,,,,,,,,,,,,,,,1,1,-5,75,,,,,,,,,,,,,,,,,,,
348580,2023,Jarrick Bernard-Converse,DC,2023,6,204,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,
300693,2023,Christian Izien,DS,2023,,,,,,,,,,,,,7,0.109375,18,60,109,499,865,,,,,,,,,,,,,,,,,,2,2
281435,2022,Armani Rogers,TE,2022,,,,,,,,,0,3,3,2,,,,,,,375,,,,,,,,,2,26,,6,5,64,1.1636363636363636,,57,,
305338,2022,Baylon Spector,IB,2022,7,231,,,,,,,,,,,,,,4,1,26,98,,,,,,,,,,,,,,,,,,,
289381,2023,Travis Vokolek,TE,2023,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,
283943,2022,Ben Stille,DT,2022,,,,,,,,,,,,,3,0.09375,5,,,,85,,,,,,,,,,,,,,,,,,,
196184,2020,Elijah Riley,DC,2020,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,
305132,2020,John Hightower,WR,2020,5,168,0,1,0,,,,,9,15,,,,,,,,346,,,,,,,,,1,1,,29,10,167,,,59,,
304353,2023,Brenton Cox,DE,2023,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,
310208,2022,Pierre Strong,RB,2022,4,127,,,,5,5,2,0,1,6,,,,,,,,194,,,,,,,,,10,100,1,7,7,42,1.9090909090909092,,38,,
173646,2020,Jace Whittaker,DC,2020,,,,,,,,,,,,,,,,3,12,33,89,,,,,,,,,,,,,,,,,,,
300724,2022,Keaontay Ingram,RB,2022,6,201,,,,18,7,2,0,,5,,,,,,,,150,,,,,,,,,27,60,1,5,4,21,0.40384615384615385,,32,,
325610,2024,Deantre Prince,DC,2024,5,153,,,,,,,,,,,,,1,8,26,63,125,,,,,,,,,,,,,,,,,,,1
285362,2022,Quentin Lake,DS,2022,6,211,,,,,,,,,,,,,4,1,4,7,202,,,,,,,,,,,,,,,,,,,1
195047,2020,Bravvion Roy,DT,2020,6,184,,,,,,,,,,,10,0.047619047619047616,26,,,,473,,,,,,,,,,,,,,,,,,,
348304,2023,Mitchell Tinsley,WR,2023,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
305826,2022,Cobie Durant,DC,2022,4,142,,,,,,,,,,,1,0.2,5,24,29,167,392,,,,,,,,,,,,,,,,,,3,5
301556,2023,Brevin Allen,DE,2023,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,
330293,2024,Matt Lee,OC,2024,7,237,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,
305865,2023,Connor Galvin,OT,2023,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
362073,2024,Carson Steele,RB,2024,,,0,0,,36,19,2,1,1,10,,,,,,,,337,,,,,,,,,56,183,,11,7,26,0.41935483870967744,,43,,
194773,2020,Tommy Stevens,QB,2020,7,240,,,,,4,,2,,,,,,,,,,5,,,,,,,,,4,24,,,,,,,,,
326655,2023,Demario Douglas,WR,2023,6,210,,,,,,,0,27,50,,,,,,,,513,,,,,,,,,8,41,,79,49,561,1.8273615635179152,,336,,
327734,2023,Tre'Vius Tomlinson,DS,2023,6,182,,,,,,,,,,,,,,6,4,78,362,,,,,,,,,,,,,,,,,,,
281884,2022,Nate Landman,IB,2022,,,,,,,,,,,,,1,0.25,,,1,,89,,,,,,,,,,,,,,,,,,,
279337,2022,Russ Yeast,DS,2022,7,253,,,,,,,,,,,,,12,5,2,32,320,,,,,,,,,,,,,,,,,,,
258839,2020,Derrek Tuszka,DE,2020,7,254,,,,,,,,,,,1,0.083333333,2,,,,202,,,,,,,,,,,,,,,,,,,
279379,2022,Elijah Hicks,DS,2022,7,254,,,,,,,,,,,,,14,3,5,102,381,,,,,,,,,,,,,,,,,,,
195166,2020,Adrian Killins,RB,2020,,,,,,,,,,,1,,,,,,,,8,,,,,,,,,1,-12,,1,1,2,,,7,,
326405,2024,Josh Wallace,DC,2024,,,,,,,,,,,,,1,0.2,1,11,20,36,389,,,,,,,,,,,,,,,,,,,2
317187,2023,Luke Schoonmaker,TE,2023,2,58,,,,,,,,2,11,3,,,,,,,588,,,,,,,,,,,,15,8,65,0.6842105263157895,2,27,,
382842,2023,Caleb Murphy,DE,2023,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,
281183,2022,Darrell Baker,DC,2022,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,
336471,2024,Isaiah Williams,WR,2024,,,,,,,,,,1,2,,,,,,,,56,,,,,,,,,,,,3,2,6,0.6666666666666666,,7,,
325600,2023,A.J. Finley,DS,2023,,,,,,,,,,,,,,,,,4,,226,,,,,,,,,,,,,,,,,,,
305931,2022,D.J. Davidson,DT,2022,5,147,,,,,,,,,,,,,3,,,,86,,,,,,,,,,,,,,,,,,,
311444,2024,Cam Grandy,TE,2024,,,,,,,,,,2,3,,,,,,,,132,,,,,,,,,,,,5,5,28,1.12,,16,,
300705,2023,Tommy DeVito,QB,2023,,,22,122,0.29508196721311475,3,5,,3,,,,,,,,,,405,178,237,114,0.6404494382022472,1101,8,37,3,36,195,1,,,,,,,,
306250,2023,Antoine Green,WR,2023,7,219,,,,,,,,1,1,,,,,,,,177,,,,,,,,,,,,2,1,2,0.045454545454545456,,1,,
258825,2020,Tony Jones,RB,2020,,,,,,,3,,0,,,,,,,,,,5,,,,,,,,,3,13,,,,,,,,,
348606,2022,Tay Martin,WR,2022,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,
328197,2024,Khalid Duke,DE,2024,,,,,,,,,,,,,1,0.3333333333333333,1,,,,22,,,,,,,,,,,,,,,,,,,
315836,2024,Elijah Klein,OG,2024,6,220,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,
282443,2022,Ty Chandler,RB,2022,5,169,,,,3,3,,0,,,,,,,,,,51,,,,,,,,,6,20,,,,,,,,,
305925,2022,Darien Butler,IB,2022,,,,,,,,,,,,,,,3,1,3,17,292,,,,,,,,,,,,,,,,,,,
281256,2022,Skylar Thompson,QB,2022,7,247,5,58,0.086206897,,,,0,,,,,,,,,,211,105,116,60,0.5714285714285714,534,1,6,3,14,21,,,,,,,,,
326396,2023,Ricky Stromberg,OC,2023,3,97,,,,,,,,,,1,,,,,,,28,,,,,,,,,,,,,,,,,,,
324977,2023,Zay Flowers,WR,2023,1,22,,,,,,,0,34,67,,,,,,,,911,,,,,,,,,8,56,1,108,77,858,1.8774617067833699,5,387,,
172698,2020,Nick Westbrook-Ikhine,WR,2020,,,,,,,,,,2,5,,,,,,,,312,,,,,,,,,,,,8,3,33,,,5,,
305411,2022,Stanley Berryhill,WR,2022,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,
300802,2022,Zach Tom,OT,2022,4,140,,,,,,,,,,10,,,,,,,489,,,,,,,,,,,,,,,,,,,
196065,2020,Tyler Huntley,QB,2020,,,0,2,0,3,2,1,1,,,,,,,,,,28,5,,3,0.6,15,,,,10,23,,,,,,,,,
405914,2024,Qwan'tez Stiggers,DC,2024,5,176,,,,,,,,,,,,,2,6,16,45,263,,,,,,,,,,,,,,,,,,,
316838,2023,Blake Whiteheart,TE,2023,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
282781,2022,Matthew Butler,DT,2022,5,175,,,,,,,,,,,1,0.047619047619047616,3,,,,63,,,,,,,,,,,,,,,,,,,
283055,2022,Luke Wattenberg,OG,2022,5,171,,,,,,,,,,6,,,,,,,108,,,,,,,,,,,,,,,,,,,
194381,2020,Ben Ellefson,TE,2020,,,,,,,,,,,4,1,,,,,,,196,,,,,,,,,,,,4,1,10,,,3,,
280117,2022,DaMarcus Fields,DS,2022,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,
325913,2024,Jowon Briggs,DT,2024,7,243,,,,,,,,,,,3,0.049180328,13,,,,163,,,,,,,,,,,,,,,,,,,
328186,2023,Carter Warren,OT,2023,4,120,,,,,,,,,,17,,,,,,,410,,,,,,,,,,,,,,,,,,,
300685,2022,Isiah Pacheco,RB,2022,7,251,,,,116,50,14,0,1,13,5,,,,,,,475,,,,,,,,,170,830,5,14,13,130,0.9285714285714286,,157,,
324681,2023,Mohamoud Diabate,IB,2023,,,,,,,,,,,,,,,2,1,1,0,321,,,,,,,,,,,,,,,,,,,
195255,2020,McTelvin Agim,DT,2020,3,95,,,,,,,,,,,4,0.0625,7,,,,157,,,,,,,,,,,,,,,,,,,1
174315,2020,James Smith-Williams,DE,2020,7,229,,,,,,,,,,,3,0.057692307692307696,5,,,,372,,,,,,,,,,,,,,,,,,,
325183,2023,Jalen Graham,IB,2023,7,255,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,
306188,2022,Shaun Jolly,DC,2022,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
353353,2024,Myles Harden,DC,2024,7,227,,,,,,,,,,,,,1,7,20,50,102,,,,,,,,,,,,,,,,,,,
197409,2020,Kevin Dotson,OG,2020,4,135,,,,,,,,,,1,,,,,,,403,,,,,,,,,,,,,,,,,,,
194962,2020,Michael Danna,DE,2020,5,177,,,,,,,,,,,15,0.088235294,16,,4,,376,,,,,,,,,,,,,,,,,,,
336849,2024,Hunter Nourzad,OC,2024,5,159,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,
330388,2024,Anthony Gould,WR,2024,5,142,,,,,,,,,1,,,,,,,,87,,,,,,,,,,,,1,1,23,3.8333333333333335,,5,,
195690,2020,Shaquille Quarterman,IB,2020,4,140,,,,,,,,,,,,,,,,,203,,,,,,,,,,,,,,,,,,,
327296,2024,Tylan Grable,OT,2024,6,204,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,
304444,2024,Chigozie Anusiem,DC,2024,,,,,,,,,,,,,,,,,3,,13,,,,,,,,,,,,,,,,,,,
349628,2024,Evan Anderson,DT,2024,,,,,,,,,,,,,6,0.055045872,22,,,,324,,,,,,,,,,,,,,,,,,,
325899,2024,Gabriel Murphy,DE,2024,,,,,,,,,,,,,1,0.058823529411764705,1,,,,41,,,,,,,,,,,,,,,,,,,
195287,2020,Jack Driscoll,OT,2020,4,145,,,,,,,,,,12,,,,,,,334,,,,,,,,,,,,,,,,,,,
326492,2024,Jarius Monroe,DC,2024,,,,,,,,,,,,,1,1,1,1,2,0,75,,,,,,,,,,,,,,,,,,,
300890,2022,Matt Henningsen,DT,2022,6,206,,,,,,,,,,,1,0.010309278350515464,20,,,,422,,,,,,,,,,,,,,,,,,,
260934,2022,Chase Lucas,DC,2022,7,237,,,,,,,,,,,,,1,1,2,6,81,,,,,,,,,,,,,,,,,,,
196605,2020,Dezmon Patmon,WR,2020,6,212,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
350636,2024,Tip Reiman,TE,2024,3,82,,,,,,,,1,6,4,,,,,,,639,,,,,,,,,,,,7,6,37,0.3592233009708738,,29,,
174215,2020,John Reid,DC,2020,4,141,,,,,,,,,,,1,0.1,2,15,41,131,240,,,,,,,,,,,,,,,,,,,1
330335,2024,Malik Washington,WR,2024,6,184,,,,,2,,0,7,27,,,,,,,,514,,,,,,,,,5,25,1,36,26,223,1.0420560747663552,,123,,
280153,2023,Jordan Mims,RB,2023,,,,,,,,,,1,,,,,,,,,16,,,,,,,,,,,,2,,,,,,,
194670,2022,Jack Jones,DS,2022,4,121,,,,,,,,,,,,,10,33,119,285,472,,,,,,,,,,,,,,,,,,2,6
327913,2024,Zion Logue,DT,2024,6,197,,,,,,,,,,,,,2,,,,42,,,,,,,,,,,,,,,,,,,
304450,2023,Robert Beal,DE,2023,5,173,,,,,,,,,,,3,0.125,2,,,,79,,,,,,,,,,,,,,,,,,,
