college_gsis_id,position,player_name,season,team,school_code,passing_attempts,passing_completions,passing_yards,passing_completion_percentage,passing_touchdowns,passing_interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_receptions,receiving_touchdowns,receiving_yards,defense_pass_breakups,defense_qb_hurries,defense_sacks,defense_solo_tackles,defense_total_tackles,defense_tackles_for_loss,defense_interceptions,defense_touchdowns,kickreturns_avg,kickreturns_long,kickreturns_no,kickreturns_touchdowns,kickreturns_yards,puntreturns_avg,puntreturns_long,puntreturns_no,puntreturns_td,puntreturns_yds,total_fumbles,total_fumbles_lost
194673,IB,John Houston Jr.,2019,USC,CASC,,,,,,,,,,,,,3,0,2.5,64,104,7,,0,,,,,,,,,,,0,0
194682,WR,Johnathon Johnson,2017,Missouri,MOUN,,,,,,,1,0,0,41,6,724,,,,,,,,,,,,,,7,10,2,0,14,1,1
194682,WR,Johnathon Johnson,2018,Missouri,MOUN,,,,,,,1,8,0,59,5,737,0,0,0,1,1,0,,0,,,,,,1.5,16,12,0,18,,
194682,WR,Johnathon Johnson,2019,Missouri,MOUN,,,,,,,1,13,0,29,0,294,0,0,0,1,1,0,,0,1,1,1,0,1,0.5,1,2,0,1,2,1
194690,DS,Shyheim Carter,2017,Alabama,ALUN,,,,,,,,,,,,,1,0,0,2,7,0,,0,,,,,,,,,,,,
194690,DS,Shyheim Carter,2018,Alabama,ALUN,,,,,,,,,,,,,9,3,0,27,43,3.5,2,1,,,,,,,,,,,,
194690,DS,Shyheim Carter,2019,Alabama,ALUN,,,,,,,,,,,,,7,0,0,24,43,2.5,1,0,,,,,,,,,,,,
194773,QB,Tommy Stevens,2017,Penn State,PAST,27,14,158,0.519,3,0,27,190,4,12,2,60,,,,,,,,,,,,,,,,,,,1,0
194773,QB,Tommy Stevens,2018,Penn State,PAST,11,8,110,0.727,1,1,28,118,2,2,0,2,,,,,,,,,,,,,,,,,,,1,0
194773,QB,Tommy Stevens,2019,Mississippi State,MSST,161,97,1155,0.602,11,5,83,381,4,,,,0,0,0,1,2,0,,0,,,,,,,,,,,4,3
194799,OG,John Phillips,2019,Boston College,MABC,,,,,,,,,,,,,0,0,0,1,1,0,,0,,,,,,,,,,,,
194844,DS,David Dowell,2017,Michigan State,MIST,,,,,,,,,,,,,4,0,0,29,46,0,5,0,,,,,,,,,,,0,0
194844,DS,David Dowell,2018,Michigan State,MIST,,,,,,,,,,,,,2,0,0,29,59,0,2,0,,,,,,,,,,,,
194844,DS,David Dowell,2019,Michigan State,MIST,,,,,,,,,,,,,2,0,0,39,55,0.5,1,0,,,,,,,,,,,0,0
194854,OG,Tyler Higby,2017,Michigan State,MIST,,,,,,,,,,,,,0,0,0,1,1,0,,0,,,,,,,,,,,,
194868,DT,Raequan Williams,2017,Michigan State,MIST,,,,,,,,,,,,,0,7,2.5,13,31,6,,0,,,,,,,,,,,,
194868,DT,Raequan Williams,2018,Michigan State,MIST,,,,,,,,,,,,,5,3,2,17,49,10.5,,0,,,,,,,,,,,,
194868,DT,Raequan Williams,2019,Michigan State,MIST,,,,,,,,,,,,,2,7,5,17,48,7.5,,0,,,,,,,,,,,,
194907,DE,Bryce Huff,2017,Memphis,TNMS,,,,,,,,,,,,,1,4,2,23,30,5,,0,,,,,,,,,,,0,0
194907,DE,Bryce Huff,2018,Memphis,TNMS,,,,,,,,,,,,,2,7,7,32,45,15.5,,0,6,6,1,0,6,,,,,,,
194907,DE,Bryce Huff,2019,Memphis,TNMS,,,,,,,,,,,,,0,16,6.5,33,52,15.5,,0,,,,,,,,,,,0,0
194962,DE,Mike Danna,2017,Central Michigan,MICE,,,,,,,,,,,,,0,5,4,31,54,8.5,,0,,,,,,,,,,,0,0
194962,DE,Mike Danna,2018,Central Michigan,MICE,,,,,,,,,,,,,1,6,8.5,36,65,14,,1,,,,,,,,,,,0,0
194962,DE,Mike Danna,2019,Michigan,MIUN,,,,,,,,,,,,,0,2,3,20,38,3,,0,,,,,,,,,,,,
195047,DT,Bravvion Roy,2017,Baylor,TXBA,,,,,,,,,,,,,0,0,0.5,16,31,3,,0,,,,,,,,,,,,
195047,DT,Bravvion Roy,2018,Baylor,TXBA,,,,,,,,,,,,,0,0,1.5,15,30,3,,0,,,,,,,,,,,,
195047,DT,Bravvion Roy,2019,Baylor,TXBA,,,,,,,,,,,,,0,7,5.5,35,61,13,,0,,,,,,,,,,,,
195160,DC,Nevelle Clarke,2017,UCF,FLCE,,,,,,,,,,,,,3,1,0,21,25,2,1,0,,,,,,,,,,,,
195160,DC,Nevelle Clarke,2018,UCF,FLCE,,,,,,,,,,,,,13,1,1,38,46,4,2,0,,,,,,,,,,,0,0
195160,DC,Nevelle Clarke,2019,UCF,FLCE,,,,,,,,,,,,,11,0,0,20,20,1,2,1,,,,,,,,,,,,
195166,RB,Adrian Killins Jr.,2017,UCF,FLCE,,,,,,,122,790,10,25,1,169,0,0,0,1,1,0,,0,15,19,5,0,75,,,,,,,
195166,RB,Adrian Killins Jr.,2018,UCF,FLCE,,,,,,,147,715,4,19,4,377,0,0,0,1,1,0,,0,21.1,44,14,0,296,,,,,,,
195166,RB,Adrian Killins Jr.,2019,UCF,FLCE,,,,,,,87,629,7,8,1,120,0,0,0,1,1,0,,0,17.2,45,12,0,206,,,,,,2,1
195189,TE,Giovanni Ricci,2017,Western Michigan,MIWE,,,,,,,,,,12,0,80,0,0,0,2,2,0,,0,,,,,,,,,,,2,1
195189,TE,Giovanni Ricci,2018,Western Michigan,MIWE,,,,,,,,,,35,3,392,,,,,,,,,,,,,,,,,,,1,0
195189,TE,Giovanni Ricci,2019,Western Michigan,MIWE,,,,,,,,,,51,8,642,0,0,0,2,3,0,,0,,,,,,,,,,,,
195255,DT,McTelvin Agim,2017,Arkansas,ARUN,,,,,,,,,,,,,3,3,2.5,15,37,7.5,,0,,,,,,,,,,,,
195255,DT,McTelvin Agim,2018,Arkansas,ARUN,,,,,,,,,,1,0,11,1,11,4.5,19,45,10,,0,,,,,,,,,,,0,0
195255,DT,McTelvin Agim,2019,Arkansas,ARUN,,,,,,,,,,,,,0,3,5,20,39,8.5,,0,,,,,,,,,,,0,0
195293,WR,Josh Hammond,2017,Florida,FLUN,,,,,,,,,,18,0,246,0,0,0,1,1,0,,0,,,,,,,,,,,,
195293,WR,Josh Hammond,2018,Florida,FLUN,,,,,,,2,32,1,28,4,369,0,0,0,1,1,0,,0,,,,,,,,,,,0,0
195293,WR,Josh Hammond,2019,Florida,FLUN,,,,,,,6,101,1,27,2,346,0,0,0,1,2,0,,0,,,,,,,,,,,,
195298,WR,Freddie Swain,2017,Florida,FLUN,,,,,,,,,,8,1,96,,,,,,,,,,,,,,13.5,17,2,0,27,,
195298,WR,Freddie Swain,2018,Florida,FLUN,,,,,,,,,,15,5,271,0,0,0,0,0,0,,1,6,6,1,0,6,9.7,85,23,1,224,,
195298,WR,Freddie Swain,2019,Florida,FLUN,,,,,,,4,27,0,38,7,517,0,0,0,2,2,0,,0,13,23,3,0,39,4,10,14,0,56,1,0
195351,RB,Reggie Corbin,2017,Illinois,ILUN,,,,,,,18,78,0,9,0,27,,,,,,,,,,,,,,,,,,,,
195351,RB,Reggie Corbin,2018,Illinois,ILUN,,,,,,,128,1085,9,16,0,176,,,,,,,,,,,,,,,,,,,3,3
195351,RB,Reggie Corbin,2019,Illinois,ILUN,,,,,,,143,675,7,3,0,28,,,,,,,,,,,,,,,,,,,,
195357,IB,Dele Harding,2017,Illinois,ILUN,,,,,,,,,,,,,0,0,0,17,32,0,,0,,,,,,,,,,,,
195357,IB,Dele Harding,2018,Illinois,ILUN,,,,,,,,,,2,0,12,0,0,1,21,37,5.5,,0,,,,,,,,,,,,
195357,IB,Dele Harding,2019,Illinois,ILUN,,,,,,,,,,,,,0,2,0,66,153,14.5,3,2,,,,,,,,,,,0,0
195363,DS,Patrick Nelson,2017,Illinois,ILUN,,,,,,,,,,,,,2,0,0,32,65,2.5,,0,,,,,,,,,,,0,0
195363,DS,Patrick Nelson,2018,SMU,TXMU,,,,,,,,,,,,,1,1,1.5,32,59,6,2,0,,,,,,,,,,,,
195363,DS,Patrick Nelson,2019,SMU,TXMU,,,,,,,,,,,,,2,3,12.5,58,81,18.5,1,0,,,,,,,,,,,0,0
195581,DS,Myles Dorn,2017,North Carolina,NCUN,,,,,,,,,,,,,5,1,0,34,71,2.5,2,0,,,,,,,,,,,0,0
195581,DS,Myles Dorn,2018,North Carolina,NCUN,,,,,,,,,,,,,3,1,0,33,54,2.5,2,0,,,,,,,,,,,,
195581,DS,Myles Dorn,2019,North Carolina,NCUN,,,,,,,,,,,,,6,1,0,49,83,4.5,2,0,,,,,,,,,,,,
195690,IB,Shaquille Quarterman,2017,Miami,FLMI,,,,,,,,,,,,,3,4,2.5,41,78,7,,0,,,,,,,,,,,0,0
195690,IB,Shaquille Quarterman,2018,Miami,FLMI,,,,,,,,,,,,,2,6,6,45,82,14,1,0,,,,,,,,,,,0,0
195690,IB,Shaquille Quarterman,2019,Miami,FLMI,,,,,,,,,,,,,5,7,1,51,107,15.5,,0,,,,,,,,,,,0,0
195691,IB,Michael Pinckney,2017,Miami,FLMI,,,,,,,,,,,,,2,1,3.5,29,65,11,1,0,,,,,,,,,,,0,0
195691,IB,Michael Pinckney,2018,Miami,FLMI,,,,,,,,,,,,,2,5,3.5,35,74,11,1,0,,,,,,,,,,,,
195691,IB,Michael Pinckney,2019,Miami,FLMI,,,,,,,,,,,,,3,5,5,40,64,12.5,,0,,,,,,,,,,,,
195726,QB,Mason Fine,2017,North Texas,TXNO,510,323,4044,0.633,31,15,106,17,1,,,,,,,,,,,,,,,,,,,,,,12,2
195726,QB,Mason Fine,2018,North Texas,TXNO,469,303,3793,0.646,27,5,69,20,2,,,,0,0,0,1,1,0,,0,,,,,,,,,,,6,2
195726,QB,Mason Fine,2019,North Texas,TXNO,414,257,3088,0.621,29,9,55,-98,2,,,,,,,,,,,,,,,,,,,,,,7,2
195755,DE,LaDarius Hamilton,2017,North Texas,TXNO,,,,,,,,,,,,,0,5,0,22,40,4,1,0,12,18,4,0,48,,,,,,0,0
195755,DE,LaDarius Hamilton,2018,North Texas,TXNO,,,,,,,,,,,,,1,3,7.5,16,33,11,,0,5,5,1,0,5,,,,,,,
195755,DE,LaDarius Hamilton,2019,North Texas,TXNO,,,,,,,,,,,,,0,7,8.5,23,39,10.5,,0,,,,,,,,,,,,
195806,DC,Stantley Thomas-Oliver III,2017,Florida International,FLIN,,,,,,,,,,1,0,4,,,,,,,,,,,,,,,,,,,,
195806,DC,Stantley Thomas-Oliver III,2018,Florida International,FLIN,,,,,,,,,,,,,9,0,0,21,37,3,1,0,,,,,,,,,,,,
195806,DC,Stantley Thomas-Oliver III,2019,Florida International,FLIN,,,,,,,,,,,,,8,0,2,42,54,4,1,0,,,,,,,,,,,,
195874,TE,Eli Wolf,2017,Tennessee,TNUN,,,,,,,,,,3,0,48,,,,,,,,,,,,,,,,,,,,
195874,TE,Eli Wolf,2018,Tennessee,TNUN,,,,,,,,,,5,1,30,,,,,,,,,,,,,,,,,,,,
195874,TE,Eli Wolf,2019,Georgia,GAUN,,,,,,,,,,13,1,194,,,,,,,,,,,,,,,,,,,1,1
196065,QB,Tyler Huntley,2017,Utah,UTUN,312,199,2411,0.638,15,10,168,537,6,,,,,,,,,,,,,,,,,,,,,,5,3
196065,QB,Tyler Huntley,2018,Utah,UTUN,233,149,1762,0.639,12,6,108,304,4,1,1,58,,,,,,,,,,,,,,,,,,,3,1
196065,QB,Tyler Huntley,2019,Utah,UTUN,301,220,3092,0.731,19,4,104,290,5,,,,,,,,,,,,,,,,,,,,,,3,1
196085,OT,Darrin Paulo,2017,Utah,UTUN,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,
196164,TE,Mitchell Wilcox,2017,South Florida,FLSO,,,,,,,,,,17,2,158,0,0,0,2,3,0,,0,,,,,,,,,,,1,1
196164,TE,Mitchell Wilcox,2018,South Florida,FLSO,,,,,,,,,,43,2,540,0,0,0,2,2,0,,0,,,,,,,,,,,,
196164,TE,Mitchell Wilcox,2019,South Florida,FLSO,,,,,,,,,,28,5,350,0,0,0,2,3,0,,0,,,,,,,,,,,,
196171,DE,Kendall Coleman,2017,Syracuse,NYSY,,,,,,,,,,,,,0,4,0.5,14,28,2.5,,0,,,,,,,,,,,,
196171,DE,Kendall Coleman,2018,Syracuse,NYSY,,,,,,,,,,,,,0,6,10,23,30,12,,0,,,,,,,,,,,,
196171,DE,Kendall Coleman,2019,Syracuse,NYSY,,,,,,,,,,,,,2,6,4,20,48,10.5,,0,,,,,,,,,,,,
196184,DC,Elijah Riley,2017,Army,NYWP,,,,,,,,,,,,,2,0,1.5,13,20,1.5,1,0,,,,,,,,,,,0,0
196184,DC,Elijah Riley,2018,Army,NYWP,,,,,,,,,,,,,9,1,1,37,53,7.5,,0,,,,,,8,8,1,0,8,,
196184,DC,Elijah Riley,2019,Army,NYWP,,,,,,,,,,,,,6,0,4,55,79,8,3,0,,,,,,2.5,5,2,0,5,0,0
196241,RB,Benny LeMay,2017,Charlotte,NCCR,,,,,,,137,732,2,9,2,88,0,0,0,2,2,0,,0,,,,,,,,,,,,
196241,RB,Benny LeMay,2018,Charlotte,NCCR,,,,,,,232,1228,11,21,0,282,,,,,,,,,,,,,,,,,,,2,1
196241,RB,Benny LeMay,2019,Charlotte,NCCR,,,,,,,193,1072,9,19,4,242,,,,,,,,,,,,,,,,,,,1,0
196251,DE,Alex Highsmith,2017,Charlotte,NCCR,,,,,,,,,,,,,0,7,2,23,33,5,,0,,,,,,,,,,,0,0
196251,DE,Alex Highsmith,2018,Charlotte,NCCR,,,,,,,,,,,,,1,4,3,37,54,17.5,,0,,,,,,,,,,,,
196251,DE,Alex Highsmith,2019,Charlotte,NCCR,,,,,,,,,,,,,2,7,10.5,37,63,16.5,,0,,,,,,,,,,,,
196379,DT,Bryce Sterk,2019,Montana State,MTST,,,,,,,,,,,,,0,0,1,5,6,1,,0,,,,,,,,,,,,
196601,DT,Khalil Davis,2017,Nebraska,NEUN,,,,,,,,,,,,,1,2,2,7,15,4,,0,,,,,,,,,,,,
196601,DT,Khalil Davis,2018,Nebraska,NEUN,,,,,,,,,,,,,0,4,3,24,41,8,,0,,,,,,,,,,,0,0
196601,DT,Khalil Davis,2019,Nebraska,NEUN,,,,,,,,,,,,,1,0,8,28,44,12,,0,,,,,,,,,,,,
196603,DT,Carlos Davis,2017,Nebraska,NEUN,,,,,,,,,,,,,0,6,2.5,18,42,3.5,,0,,,,,,,,,,,,
196603,DT,Carlos Davis,2018,Nebraska,NEUN,,,,,,,,,,,,,5,1,1,13,27,3,,0,,,,,,,,,,,0,0
196603,DT,Carlos Davis,2019,Nebraska,NEUN,,,,,,,,,,,,,3,1,4,17,32,6,,0,,,,,,,,,,,0,0
196605,WR,Dezmon Patmon,2017,Washington State,WAST,,,,,,,,,,35,0,379,,,,,,,,,,,,,,,,,,,,
196605,WR,Dezmon Patmon,2018,Washington State,WAST,,,,,,,,,,61,5,816,0,0,0,1,1,0,,0,,,,,,,,,,,,
196605,WR,Dezmon Patmon,2019,Washington State,WAST,,,,,,,,,,58,8,762,0,0,0,1,2,0,,0,,,,,,,,,,,1,1
196663,WR,Aaron Parker,2017,Rhode Island,RIUN,,,,,,,,,,7,1,69,0,0,0,3,3,0,,0,,,,,,,,,,,,
196663,WR,Aaron Parker,2018,Rhode Island,RIUN,,,,,,,1,-4,0,7,1,128,,,,,,,,,,,,,,,,,,,,
196663,WR,Aaron Parker,2019,Rhode Island,RIUN,1,0,0,0,0,0,1,0,0,14,1,208,,,,,,,,,,,,,,,,,,,,
196696,WR,Joe Reed,2017,Virginia,VAUN,,,,,,,21,112,1,23,2,244,0,0,0,1,3,0,,2,29.7,98,29,2,861,,,,,,,
196696,WR,Joe Reed,2018,Virginia,VAUN,,,,,,,3,15,0,25,7,465,0,0,0,5,7,0,,1,27.2,90,26,1,707,,,,,,2,1
196696,WR,Joe Reed,2019,Virginia,VAUN,,,,,,,8,42,0,77,7,679,0,0,0,1,1,0,,2,33.2,100,24,2,796,,,,,,1,1
196785,WR,Jordan McCray,2017,South Alabama,ALSO,,,,,,,1,-9,0,22,1,270,,,,,,,,,,,,,,,,,,,,
196785,WR,Jordan McCray,2018,South Alabama,ALSO,,,,,,,,,,29,4,273,,,,,,,,,,,,,,,,,,,,
196785,WR,Jordan McCray,2019,Oklahoma State,OKST,,,,,,,,,,19,2,237,,,,,,,,,,,,,,,,,,,,
196808,OC,Darryl Williams,2017,Mississippi State,MSST,,,,,,,,,,,,,0,0,0,2,2,0,,0,,,,,,,,,,,,
196808,OC,Darryl Williams,2019,Mississippi State,MSST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
196822,WR,Malcolm Perry,2017,Navy,MDNA,2,1,5,0.5,1,1,138,1182,11,13,2,303,0,0,0,1,1,0,,0,24.5,58,13,0,318,,,,,,1,1
196822,WR,Malcolm Perry,2018,Navy,MDNA,24,9,222,0.375,2,1,172,1087,7,9,1,167,,,,,,,,,24.7,33,7,0,173,,,,,,4,1
196822,WR,Malcolm Perry,2019,Navy,MDNA,86,48,1084,0.558,7,3,295,2017,21,,,,,,,,,,,,,,,,,,,,,,7,5
196978,OG,Cordel Iwuagwu,2019,TCU,TXCU,,,,,,,,,,,,,0,0,0,0,1,0,,0,,,,,,,,,,,,
196998,IB,Kyahva Tezino,2017,San Diego State,CASS,,,,,,,,,,,,,1,2,1,34,58,5,,0,,,,,,,,,,,,
196998,IB,Kyahva Tezino,2018,San Diego State,CASS,,,,,,,,,,,,,2,3,8.5,69,126,14.5,,0,,,,,,,,,,,,
196998,IB,Kyahva Tezino,2019,San Diego State,CASS,,,,,,,,,,,,,1,4,3.5,43,99,10.5,2,0,,,,,,,,,,,,
197001,OG,Daishawn Dixon,2017,San Diego State,CASS,,,,,,,,,,,,,0,0,0,1,1,0,,0,,,,,,,,,,,,
197279,WR,Diondre Overton,2017,Clemson,SCCL,,,,,,,,,,14,0,178,0,0,0,1,1,0,,0,,,,,,,,,,,,
197279,WR,Diondre Overton,2018,Clemson,SCCL,,,,,,,1,3,0,14,3,199,1,0,0,3,5,0,,0,0,0,1,0,0,,,,,,,
197279,WR,Diondre Overton,2019,Clemson,SCCL,,,,,,,,,,22,3,352,,,,,,,,,,,,,,,,,,,,
197281,RB,Tavien Feaster,2017,Clemson,SCCL,1,0,0,0,0,0,107,669,7,12,1,112,,,,,,,,,15.5,16,2,0,31,,,,,,2,1
197281,RB,Tavien Feaster,2018,Clemson,SCCL,,,,,,,78,440,6,11,0,71,,,,,,,,,,,,,,,,,,,,
197281,RB,Tavien Feaster,2019,South Carolina,SCUN,,,,,,,124,672,5,17,0,87,0,0,0,1,1,0,,0,,,,,,,,,,,,
197409,OG,Kevin Dotson,2017,Louisiana,LASW,,,,,,,,,,,,,0,0,0,1,1,0,,0,,,,,,,,,,,,
